,STATE,DATE,HIGHWAY_GALLONS,State_abb,StateCode,FIPScode,MF_num,year
70,Alabama,1977-09-30,604679000.0,AL,1.0,1.0,MF-22,1977
71,Alabama,1977-12-31,602192000.0,AL,1.0,1.0,MF-22,1977
72,Alabama,1978-03-31,575334000.0,AL,1.0,1.0,MF-22,1978
73,Alabama,1978-06-30,634615000.0,AL,1.0,1.0,MF-22,1978
74,Alabama,1978-09-30,633873000.0,AL,1.0,1.0,MF-22,1978
75,Alabama,1978-12-31,614672000.0,AL,1.0,1.0,MF-22,1978
76,Alaska,1960-03-31,15692000.0,AK,2.0,2.0,MF-22,1960
77,Alaska,1960-06-30,27253000.0,AK,2.0,2.0,MF-22,1960
78,Alaska,1960-09-30,36636000.0,AK,2.0,2.0,MF-22,1960
79,Alaska,1960-12-31,21382000.0,AK,2.0,2.0,MF-22,1960
80,Alaska,1961-03-31,16363000.0,AK,2.0,2.0,MF-22,1961
81,Alaska,1961-06-30,32311000.0,AK,2.0,2.0,MF-22,1961
82,Alaska,1961-09-30,41028000.0,AK,2.0,2.0,MF-22,1961
83,Alaska,1961-12-31,26619000.0,AK,2.0,2.0,MF-22,1961
84,Alaska,1962-03-31,17688000.0,AK,2.0,2.0,MF-22,1962
85,Alaska,1962-06-30,28910000.0,AK,2.0,2.0,MF-22,1962
86,Alaska,1962-09-30,34560000.0,AK,2.0,2.0,MF-22,1962
87,Alaska,1962-12-31,17190000.0,AK,2.0,2.0,MF-22,1962
88,Alaska,1963-03-31,20024000.0,AK,2.0,2.0,MF-22,1963
89,Alaska,1963-06-30,28109000.0,AK,2.0,2.0,MF-22,1963
90,Alaska,1963-09-30,31737000.0,AK,2.0,2.0,MF-22,1963
91,Alaska,1963-12-31,15062000.0,AK,2.0,2.0,MF-22,1963
92,Alaska,1964-03-31,22018000.0,AK,2.0,2.0,MF-22,1964
93,Alaska,1964-06-30,28322000.0,AK,2.0,2.0,MF-22,1964
94,Alaska,1964-09-30,29758000.0,AK,2.0,2.0,MF-22,1964
95,Alaska,1964-12-31,17082000.0,AK,2.0,2.0,MF-22,1964
96,Alaska,1965-03-31,24540000.0,AK,2.0,2.0,MF-22,1965
97,Alaska,1965-06-30,31655000.0,AK,2.0,2.0,MF-22,1965
98,Alaska,1965-09-30,36070000.0,AK,2.0,2.0,MF-22,1965
99,Alaska,1965-12-31,17968000.0,AK,2.0,2.0,MF-22,1965
100,Alaska,1966-03-31,15067000.0,AK,2.0,2.0,MF-22,1966
101,Alaska,1966-06-30,16172000.0,AK,2.0,2.0,MF-22,1966
102,Alaska,1966-09-30,30704000.0,AK,2.0,2.0,MF-22,1966
103,Alaska,1966-12-31,25400000.0,AK,2.0,2.0,MF-22,1966
104,Alaska,1967-03-31,28199000.0,AK,2.0,2.0,MF-22,1967
105,Alaska,1967-06-30,23817000.0,AK,2.0,2.0,MF-22,1967
106,Alaska,1967-09-30,36236000.0,AK,2.0,2.0,MF-22,1967
107,Alaska,1967-12-31,42689000.0,AK,2.0,2.0,MF-22,1967
108,Alaska,1968-03-31,22646000.0,AK,2.0,2.0,MF-22,1968
109,Alaska,1968-06-30,28189000.0,AK,2.0,2.0,MF-22,1968
110,Alaska,1968-09-30,37223000.0,AK,2.0,2.0,MF-22,1968
111,Alaska,1968-12-31,28676000.0,AK,2.0,2.0,MF-22,1968
112,Alaska,1969-03-31,24592000.0,AK,2.0,2.0,MF-22,1969
113,Alaska,1969-06-30,29157000.0,AK,2.0,2.0,MF-22,1969
114,Alaska,1969-09-30,37095000.0,AK,2.0,2.0,MF-22,1969
115,Alaska,1969-12-31,31502000.0,AK,2.0,2.0,MF-22,1969
116,Alaska,1970-03-31,27067000.0,AK,2.0,2.0,MF-22,1970
117,Alaska,1970-06-30,32456000.0,AK,2.0,2.0,MF-22,1970
118,Alaska,1970-09-30,40228000.0,AK,2.0,2.0,MF-22,1970
119,Alaska,1970-12-31,33024000.0,AK,2.0,2.0,MF-22,1970
120,Alaska,1971-03-31,27256000.0,AK,2.0,2.0,MF-22,1971
121,Alaska,1971-06-30,35878000.0,AK,2.0,2.0,MF-22,1971
122,Alaska,1971-09-30,41195000.0,AK,2.0,2.0,MF-22,1971
123,Alaska,1971-12-31,29860000.0,AK,2.0,2.0,MF-22,1971
124,Alaska,1972-03-31,28981000.0,AK,2.0,2.0,MF-22,1972
125,Alaska,1972-06-30,29965000.0,AK,2.0,2.0,MF-22,1972
126,Alaska,1972-09-30,68092000.0,AK,2.0,2.0,MF-22,1972
127,Alaska,1972-12-31,53302000.0,AK,2.0,2.0,MF-22,1972
128,Alaska,1973-03-31,29751000.0,AK,2.0,2.0,MF-22,1973
129,Alaska,1973-06-30,42004000.0,AK,2.0,2.0,MF-22,1973
130,Alaska,1973-09-30,49911000.0,AK,2.0,2.0,MF-22,1973
131,Alaska,1973-12-31,36255000.0,AK,2.0,2.0,MF-22,1973
132,Alaska,1974-03-31,39171000.0,AK,2.0,2.0,MF-22,1974
133,Alaska,1974-06-30,49990000.0,AK,2.0,2.0,MF-22,1974
134,Alaska,1974-09-30,60122000.0,AK,2.0,2.0,MF-22,1974
135,Alaska,1974-12-31,43856000.0,AK,2.0,2.0,MF-22,1974
136,Alaska,1975-03-31,44283000.0,AK,2.0,2.0,MF-22,1975
137,Alaska,1975-06-30,62088000.0,AK,2.0,2.0,MF-22,1975
138,Alaska,1975-09-30,68236000.0,AK,2.0,2.0,MF-22,1975
139,Alaska,1975-12-31,53820000.0,AK,2.0,2.0,MF-22,1975
140,Alaska,1976-03-31,51933000.0,AK,2.0,2.0,MF-22,1976
141,Alaska,1976-06-30,67418000.0,AK,2.0,2.0,MF-22,1976
142,Alaska,1976-09-30,77453000.0,AK,2.0,2.0,MF-22,1976
143,Alaska,1976-12-31,62997000.0,AK,2.0,2.0,MF-22,1976
144,Alaska,1977-03-31,53843000.0,AK,2.0,2.0,MF-22,1977
145,Alaska,1977-06-30,68216000.0,AK,2.0,2.0,MF-22,1977
146,Alaska,1977-09-30,80533000.0,AK,2.0,2.0,MF-22,1977
147,Alaska,1977-12-31,64633000.0,AK,2.0,2.0,MF-22,1977
148,Alaska,1978-03-31,50496000.0,AK,2.0,2.0,MF-22,1978
149,Alaska,1978-06-30,63365000.0,AK,2.0,2.0,MF-22,1978
150,Alaska,1978-09-30,69508000.0,AK,2.0,2.0,MF-22,1978
151,Alaska,1978-12-31,59575000.0,AK,2.0,2.0,MF-22,1978
152,Arizona,1960-03-31,138745000.0,AZ,3.0,4.0,MF-22,1960
153,Arizona,1960-06-30,145207000.0,AZ,3.0,4.0,MF-22,1960
154,Arizona,1960-09-30,144137000.0,AZ,3.0,4.0,MF-22,1960
155,Arizona,1960-12-31,143879000.0,AZ,3.0,4.0,MF-22,1960
156,Arizona,1961-03-31,141133000.0,AZ,3.0,4.0,MF-22,1961
157,Arizona,1961-06-30,146684000.0,AZ,3.0,4.0,MF-22,1961
158,Arizona,1961-09-30,149667000.0,AZ,3.0,4.0,MF-22,1961
159,Arizona,1961-12-31,149488000.0,AZ,3.0,4.0,MF-22,1961
160,Arizona,1962-03-31,151668000.0,AZ,3.0,4.0,MF-22,1962
161,Arizona,1962-06-30,156148000.0,AZ,3.0,4.0,MF-22,1962
162,Arizona,1962-09-30,158049000.0,AZ,3.0,4.0,MF-22,1962
163,Arizona,1962-12-31,158545000.0,AZ,3.0,4.0,MF-22,1962
164,Arizona,1963-03-31,155722000.0,AZ,3.0,4.0,MF-22,1963
165,Arizona,1963-06-30,164096000.0,AZ,3.0,4.0,MF-22,1963
166,Arizona,1963-09-30,166926000.0,AZ,3.0,4.0,MF-22,1963
167,Arizona,1963-12-31,165259000.0,AZ,3.0,4.0,MF-22,1963
168,Arizona,1964-03-31,167050000.0,AZ,3.0,4.0,MF-22,1964
169,Arizona,1964-06-30,172256000.0,AZ,3.0,4.0,MF-22,1964
170,Arizona,1964-09-30,174344000.0,AZ,3.0,4.0,MF-22,1964
171,Arizona,1964-12-31,171455000.0,AZ,3.0,4.0,MF-22,1964
172,Arizona,1965-03-31,166724000.0,AZ,3.0,4.0,MF-22,1965
173,Arizona,1965-06-30,180160000.0,AZ,3.0,4.0,MF-22,1965
174,Arizona,1965-09-30,179574000.0,AZ,3.0,4.0,MF-22,1965
175,Arizona,1965-12-31,177437000.0,AZ,3.0,4.0,MF-22,1965
176,Arizona,1966-03-31,177253000.0,AZ,3.0,4.0,MF-22,1966
177,Arizona,1966-06-30,189065000.0,AZ,3.0,4.0,MF-22,1966
178,Arizona,1966-09-30,191920000.0,AZ,3.0,4.0,MF-22,1966
179,Arizona,1966-12-31,187657000.0,AZ,3.0,4.0,MF-22,1966
180,Arizona,1967-03-31,181048000.0,AZ,3.0,4.0,MF-22,1967
181,Arizona,1967-06-30,199375000.0,AZ,3.0,4.0,MF-22,1967
182,Arizona,1967-09-30,199775000.0,AZ,3.0,4.0,MF-22,1967
183,Arizona,1967-12-31,192961000.0,AZ,3.0,4.0,MF-22,1967
184,Arizona,1968-03-31,193045000.0,AZ,3.0,4.0,MF-22,1968
185,Arizona,1968-06-30,211829000.0,AZ,3.0,4.0,MF-22,1968
186,Arizona,1968-09-30,221110000.0,AZ,3.0,4.0,MF-22,1968
187,Arizona,1968-12-31,214424000.0,AZ,3.0,4.0,MF-22,1968
188,Arizona,1969-03-31,220461000.0,AZ,3.0,4.0,MF-22,1969
189,Arizona,1969-06-30,239625000.0,AZ,3.0,4.0,MF-22,1969
190,Arizona,1969-09-30,252273000.0,AZ,3.0,4.0,MF-22,1969
191,Arizona,1969-12-31,248714000.0,AZ,3.0,4.0,MF-22,1969
192,Arizona,1970-03-31,249078000.0,AZ,3.0,4.0,MF-22,1970
193,Arizona,1970-06-30,248600000.0,AZ,3.0,4.0,MF-22,1970
194,Arizona,1970-09-30,267067000.0,AZ,3.0,4.0,MF-22,1970
195,Arizona,1970-12-31,258716000.0,AZ,3.0,4.0,MF-22,1970
196,Arizona,1971-03-31,263181000.0,AZ,3.0,4.0,MF-22,1971
197,Arizona,1971-06-30,277117000.0,AZ,3.0,4.0,MF-22,1971
198,Arizona,1971-09-30,277449000.0,AZ,3.0,4.0,MF-22,1971
199,Arizona,1971-12-31,293510000.0,AZ,3.0,4.0,MF-22,1971
200,Arizona,1972-03-31,295782000.0,AZ,3.0,4.0,MF-22,1972
201,Arizona,1972-06-30,315592000.0,AZ,3.0,4.0,MF-22,1972
202,Arizona,1972-09-30,321356000.0,AZ,3.0,4.0,MF-22,1972
203,Arizona,1972-12-31,308140000.0,AZ,3.0,4.0,MF-22,1972
204,Arizona,1973-03-31,337472000.0,AZ,3.0,4.0,MF-22,1973
205,Arizona,1973-06-30,349177000.0,AZ,3.0,4.0,MF-22,1973
206,Arizona,1973-09-30,337379000.0,AZ,3.0,4.0,MF-22,1973
207,Arizona,1973-12-31,334659000.0,AZ,3.0,4.0,MF-22,1973
208,Arizona,1974-03-31,296549000.0,AZ,3.0,4.0,MF-22,1974
209,Arizona,1974-06-30,330607000.0,AZ,3.0,4.0,MF-22,1974
210,Arizona,1974-09-30,332945000.0,AZ,3.0,4.0,MF-22,1974
211,Arizona,1974-12-31,328655000.0,AZ,3.0,4.0,MF-22,1974
212,Arizona,1975-03-31,325751000.0,AZ,3.0,4.0,MF-22,1975
213,Arizona,1975-06-30,343421000.0,AZ,3.0,4.0,MF-22,1975
214,Arizona,1975-09-30,337126000.0,AZ,3.0,4.0,MF-22,1975
215,Arizona,1975-12-31,336608000.0,AZ,3.0,4.0,MF-22,1975
216,Arizona,1976-03-31,346813000.0,AZ,3.0,4.0,MF-22,1976
217,Arizona,1976-06-30,359283000.0,AZ,3.0,4.0,MF-22,1976
218,Arizona,1976-09-30,356790000.0,AZ,3.0,4.0,MF-22,1976
219,Arizona,1976-12-31,352982000.0,AZ,3.0,4.0,MF-22,1976
220,Arizona,1977-03-31,359621000.0,AZ,3.0,4.0,MF-22,1977
221,Arizona,1977-06-30,388650000.0,AZ,3.0,4.0,MF-22,1977
222,Arizona,1977-09-30,389284000.0,AZ,3.0,4.0,MF-22,1977
223,Arizona,1977-12-31,381730000.0,AZ,3.0,4.0,MF-22,1977
224,Arizona,1978-03-31,371777000.0,AZ,3.0,4.0,MF-22,1978
225,Arizona,1978-06-30,424022000.0,AZ,3.0,4.0,MF-22,1978
226,Arizona,1978-09-30,411795000.0,AZ,3.0,4.0,MF-22,1978
227,Arizona,1978-12-31,402589000.0,AZ,3.0,4.0,MF-22,1978
228,Arkansas,1960-03-31,135736000.0,AR,4.0,5.0,MF-22,1960
229,Arkansas,1960-06-30,166597000.0,AR,4.0,5.0,MF-22,1960
230,Arkansas,1960-09-30,173086000.0,AR,4.0,5.0,MF-22,1960
231,Arkansas,1960-12-31,161034000.0,AR,4.0,5.0,MF-22,1960
232,Arkansas,1961-03-31,145417000.0,AR,4.0,5.0,MF-22,1961
233,Arkansas,1961-06-30,172756000.0,AR,4.0,5.0,MF-22,1961
234,Arkansas,1961-09-30,176533000.0,AR,4.0,5.0,MF-22,1961
235,Arkansas,1961-12-31,172240000.0,AR,4.0,5.0,MF-22,1961
236,Arkansas,1962-03-31,153772000.0,AR,4.0,5.0,MF-22,1962
237,Arkansas,1962-06-30,185449000.0,AR,4.0,5.0,MF-22,1962
238,Arkansas,1962-09-30,184162000.0,AR,4.0,5.0,MF-22,1962
239,Arkansas,1962-12-31,185298000.0,AR,4.0,5.0,MF-22,1962
240,Arkansas,1963-03-31,162712000.0,AR,4.0,5.0,MF-22,1963
241,Arkansas,1963-06-30,194426000.0,AR,4.0,5.0,MF-22,1963
242,Arkansas,1963-09-30,199906000.0,AR,4.0,5.0,MF-22,1963
243,Arkansas,1963-12-31,189536000.0,AR,4.0,5.0,MF-22,1963
244,Arkansas,1964-03-31,177934000.0,AR,4.0,5.0,MF-22,1964
245,Arkansas,1964-06-30,200129000.0,AR,4.0,5.0,MF-22,1964
246,Arkansas,1964-09-30,207332000.0,AR,4.0,5.0,MF-22,1964
247,Arkansas,1964-12-31,200019000.0,AR,4.0,5.0,MF-22,1964
248,Arkansas,1965-03-31,180050000.0,AR,4.0,5.0,MF-22,1965
249,Arkansas,1965-06-30,214414000.0,AR,4.0,5.0,MF-22,1965
250,Arkansas,1965-09-30,217032000.0,AR,4.0,5.0,MF-22,1965
251,Arkansas,1965-12-31,215592000.0,AR,4.0,5.0,MF-22,1965
252,Arkansas,1966-03-31,187474000.0,AR,4.0,5.0,MF-22,1966
253,Arkansas,1966-06-30,229189000.0,AR,4.0,5.0,MF-22,1966
254,Arkansas,1966-09-30,227599000.0,AR,4.0,5.0,MF-22,1966
255,Arkansas,1966-12-31,221414000.0,AR,4.0,5.0,MF-22,1966
256,Arkansas,1967-03-31,198821000.0,AR,4.0,5.0,MF-22,1967
257,Arkansas,1967-06-30,236013000.0,AR,4.0,5.0,MF-22,1967
258,Arkansas,1967-09-30,235960000.0,AR,4.0,5.0,MF-22,1967
259,Arkansas,1967-12-31,228495000.0,AR,4.0,5.0,MF-22,1967
260,Arkansas,1968-03-31,207673000.0,AR,4.0,5.0,MF-22,1968
261,Arkansas,1968-06-30,243616000.0,AR,4.0,5.0,MF-22,1968
262,Arkansas,1968-09-30,252308000.0,AR,4.0,5.0,MF-22,1968
263,Arkansas,1968-12-31,252250000.0,AR,4.0,5.0,MF-22,1968
264,Arkansas,1969-03-31,220496000.0,AR,4.0,5.0,MF-22,1969
265,Arkansas,1969-06-30,260482000.0,AR,4.0,5.0,MF-22,1969
266,Arkansas,1969-09-30,270528000.0,AR,4.0,5.0,MF-22,1969
267,Arkansas,1969-12-31,263601000.0,AR,4.0,5.0,MF-22,1969
268,Arkansas,1970-03-31,232387000.0,AR,4.0,5.0,MF-22,1970
269,Arkansas,1970-06-30,269263000.0,AR,4.0,5.0,MF-22,1970
270,Arkansas,1970-09-30,283110000.0,AR,4.0,5.0,MF-22,1970
271,Arkansas,1970-12-31,275621000.0,AR,4.0,5.0,MF-22,1970
272,Arkansas,1971-03-31,249218000.0,AR,4.0,5.0,MF-22,1971
273,Arkansas,1971-06-30,295202000.0,AR,4.0,5.0,MF-22,1971
274,Arkansas,1971-09-30,304505000.0,AR,4.0,5.0,MF-22,1971
275,Arkansas,1971-12-31,293833000.0,AR,4.0,5.0,MF-22,1971
276,Arkansas,1972-03-31,273882000.0,AR,4.0,5.0,MF-22,1972
277,Arkansas,1972-06-30,329335000.0,AR,4.0,5.0,MF-22,1972
278,Arkansas,1972-09-30,331616000.0,AR,4.0,5.0,MF-22,1972
279,Arkansas,1972-12-31,319977000.0,AR,4.0,5.0,MF-22,1972
280,Arkansas,1973-03-31,303069000.0,AR,4.0,5.0,MF-22,1973
281,Arkansas,1973-06-30,337996000.0,AR,4.0,5.0,MF-22,1973
282,Arkansas,1973-09-30,353710000.0,AR,4.0,5.0,MF-22,1973
283,Arkansas,1973-12-31,333340000.0,AR,4.0,5.0,MF-22,1973
284,Arkansas,1974-03-31,286480000.0,AR,4.0,5.0,MF-22,1974
285,Arkansas,1974-06-30,337936000.0,AR,4.0,5.0,MF-22,1974
286,Arkansas,1974-09-30,345297000.0,AR,4.0,5.0,MF-22,1974
287,Arkansas,1974-12-31,331984000.0,AR,4.0,5.0,MF-22,1974
288,Arkansas,1975-03-31,297236000.0,AR,4.0,5.0,MF-22,1975
289,Arkansas,1975-06-30,339113000.0,AR,4.0,5.0,MF-22,1975
290,Arkansas,1975-09-30,351464000.0,AR,4.0,5.0,MF-22,1975
291,Arkansas,1975-12-31,343037000.0,AR,4.0,5.0,MF-22,1975
292,Arkansas,1976-03-31,326473000.0,AR,4.0,5.0,MF-22,1976
